p1,p2,count
479,471,2
479,357,1
479,34,1
479,572,2
479,260,1
484,550,6
484,552,17
484,549,17
484,14,26
484,341,9
484,31,17
484,33,17
484,151,2
484,21,3
484,243,1
484,41,1
484,47,1
484,630,2
484,389,1
484,573,8
484,63,3
484,578,1
484,357,5
493,14,38
493,31,7
493,33,4
493,142,12
493,65,2
493,543,3
493,573,1
493,559,1
493,578,1
493,523,11
493,225,4
493,150,3
493,88,1
493,550,7
493,243,6
493,517,1
493,21,1
493,552,1
493,549,1
493,554,1
493,32,3
493,389,1
493,618,1
493,159,1
493,293,1
493,479,5
493,579,2
493,64,3
493,628,1
493,304,1
494,243,2
494,630,1
513,14,23
513,94,1
513,550,3
513,63,1
513,609,1
513,357,1
513,403,2
513,59,1
513,580,1
513,389,1
517,550,9
517,142,8
517,14,9
517,151,2
517,578,1
517,493,1
523,225,8
523,150,9
523,94,1
523,577,1
523,88,3
523,14,5
523,493,1
523,551,6
523,60,2
523,243,1
524,293,20
524,33,6
524,550,1
524,14,8
524,448,2
524,389,1
524,579,2
524,31,2
524,47,2
525,65,1
525,355,1
525,471,1
525,357,1
525,34,1
525,30,1
525,22,2
525,359,3
525,608,2
525,276,2
525,100,2
532,142,2
532,243,6
532,31,1
532,389,1
532,260,1
532,630,12
532,450,5
532,108,4
532,207,5
541,426,14
541,368,27
541,179,8
541,389,45
541,543,12
541,308,8
541,128,3
541,65,3
541,374,6
541,14,5
541,216,3
541,243,3
541,142,4
541,31,5
541,593,2
541,630,1
543,14,40
543,32,4
543,243,5
543,142,11
543,389,9
543,31,10
543,65,2
543,573,3
543,559,3
543,578,6
543,493,2
543,426,2
543,403,1
543,551,1
543,588,3
543,550,11
543,541,1
549,550,5
549,552,9
549,341,2
549,14,10
549,245,1
549,484,1
549,554,2
549,578,1
550,551,18
550,94,15
550,14,29
550,580,3
550,166,6
550,156,4
550,377,9
550,268,2
550,129,11
550,119,1
550,618,2
550,403,1
550,245,1
550,552,5
550,216,1
550,151,2
550,243,1
550,543,1
550,513,1
550,559,1
550,573,1
550,549,4
550,341,1
551,550,9
551,94,4
551,377,8
551,129,1
551,245,2
551,14,2
551,368,2
551,243,3
551,552,2
552,550,7
552,549,11
552,14,18
552,129,1
552,216,1
552,341,2
552,245,1
552,554,1
552,484,1
552,21,1
554,550,1
554,552,1
554,549,2
554,14,3
554,603,1
554,31,1
559,14,44
559,243,7
559,550,12
559,389,16
559,65,1
559,543,6
559,573,1
559,578,8
559,493,1
559,94,2
559,403,1
559,21,1
559,588,6
559,245,1
559,590,2
559,142,4
559,549,1
559,552,3
559,119,5
559,221,6
559,618,1
559,472,1
559,240,4
559,143,1
559,456,2
559,355,3
559,627,1
559,151,1
559,41,1
559,118,1
565,84,1
565,369,1
565,384,2
565,391,1
565,374,3
568,593,2
568,389,5
568,628,4
568,5,1
568,629,4
568,375,2
568,276,1
572,243,54
572,142,15
572,403,2
572,551,2
572,14,20
572,550,4
572,245,5
572,258,1
572,248,1
572,630,3
572,601,3
572,389,6
572,270,6
572,579,2
572,365,3
572,260,7
572,102,1
572,479,2
572,573,5
572,293,1
572,21,2
572,41,1
572,450,1
572,636,1
572,78,2
572,65,2
572,618,1
573,14,39
573,31,7
573,33,12
573,156,4
573,550,31
573,129,3
573,298,2
573,65,1
573,543,1
573,559,1
573,578,3
573,493,1
573,517,1
573,151,4
573,293,2
573,159,1
573,479,8
573,579,3
573,243,10
573,572,1
573,146,1
573,47,2
573,357,5
573,630,9
577,479,1
577,293,1
